neurons,batch_size,learning_rate,activation,score
50,256,1e-05,tanh,0.4235033392906189
50,256,0.0001,linear,0.42625799775123596
50,256,0.0001,relu,0.3173888921737671
50,256,0.0001,tanh,0.3432925343513489
50,256,0.001,linear,0.4576198160648346
50,256,0.001,relu,0.24761830270290375
50,256,0.001,tanh,0.1848551630973816
100,4,1e-05,linear,0.12487257272005081
100,4,1e-05,relu,0.130773663520813
100,4,1e-05,tanh,0.23612907528877258
100,4,0.0001,linear,0.018073473125696182
100,4,0.0001,relu,0.02320787124335766
100,4,0.0001,tanh,0.017580566927790642
100,4,0.001,linear,0.009070479311048985
100,4,0.001,relu,0.00838522519916296
100,4,0.001,tanh,0.007932581007480621
100,8,1e-05,linear,0.2625589370727539
100,8,1e-05,relu,0.19742757081985474
100,8,1e-05,tanh,0.10871430486440659
100,8,0.0001,linear,0.020372724160552025
100,8,0.0001,relu,0.0592779703438282
100,8,0.0001,tanh,0.02017158828675747
100,8,0.001,linear,0.010629512369632721
100,8,0.001,relu,0.01366474013775587
100,8,0.001,tanh,0.010042160749435425
100,16,1e-05,linear,0.2319614142179489
100,16,1e-05,relu,0.1738206148147583
100,16,1e-05,tanh,0.23712140321731567
100,16,0.0001,linear,0.05622326210141182
100,16,0.0001,relu,0.16031554341316223
100,16,0.0001,tanh,0.05033855140209198
100,16,0.001,linear,0.01408781111240387
100,16,0.001,relu,0.016909129917621613
100,16,0.001,tanh,0.013720919378101826
100,32,1e-05,linear,0.5262336730957031
100,32,1e-05,relu,0.16910728812217712
100,32,1e-05,tanh,0.24227215349674225
100,32,0.0001,linear,0.07730326801538467
100,32,0.0001,relu,0.08666007220745087
100,32,0.0001,tanh,0.08101566135883331
100,32,0.001,linear,0.01845613680779934
100,32,0.001,relu,0.019720783457159996
100,32,0.001,tanh,0.019766606390476227
100,64,1e-05,linear,0.3532615602016449
100,64,1e-05,relu,0.17266114056110382
100,64,1e-05,tanh,0.12589198350906372
100,64,0.0001,linear,0.20296357572078705
100,64,0.0001,relu,0.1922716200351715
100,64,0.0001,tanh,0.1660442352294922
100,64,0.001,linear,0.030440056696534157
100,64,0.001,relu,0.0745948851108551
100,64,0.001,tanh,0.02993170917034149
100,128,1e-05,linear,0.3298981189727783
100,128,1e-05,relu,0.230101078748703
100,128,1e-05,tanh,0.26460063457489014
100,128,0.0001,linear,0.20616506040096283
100,128,0.0001,relu,0.272071897983551
100,128,0.0001,tanh,0.14150814712047577
100,128,0.001,linear,0.035476502031087875
100,128,0.001,relu,0.08747415989637375
100,128,0.001,tanh,0.02642820216715336
100,256,1e-05,linear,0.3213035464286804
100,256,1e-05,relu,0.2529950737953186
100,256,1e-05,tanh,0.44581714272499084
100,256,0.0001,linear,0.5009927749633789
100,256,0.0001,relu,0.18066705763339996
100,256,0.0001,tanh,0.18515156209468842
100,256,0.001,linear,0.03901549056172371
100,256,0.001,relu,0.09126725047826767
100,256,0.001,tanh,0.08476292341947556
150,4,1e-05,linear,0.04624953493475914
150,4,1e-05,relu,0.18288813531398773
150,4,1e-05,tanh,0.0855790451169014
150,4,0.0001,linear,0.016303928568959236
150,4,0.0001,relu,0.01806550659239292
150,4,0.0001,tanh,0.01696895807981491
150,4,0.001,linear,0.009037500247359276
150,4,0.001,relu,0.007840288802981377
150,4,0.001,tanh,0.007462184506841004
150,8,1e-05,linear,0.17326600849628448
150,8,1e-05,relu,0.14944276213645935
150,8,1e-05,tanh,0.19974713027477264
150,8,0.0001,linear,0.0213414765894413
150,8,0.0001,relu,0.027037393301725388
150,8,0.0001,tanh,0.018774215131998062
150,8,0.001,linear,0.009191286750137806
150,8,0.001,relu,0.013128096237778664
150,8,0.001,tanh,0.008875757455825806
