neurons,batch_size,learning_rate,activation,score
50,256,1e-05,tanh,0.044352129101753235
50,256,0.0001,linear,0.9799861907958984
50,256,0.0001,relu,0.03038720227777958
50,256,0.0001,tanh,0.019065238535404205
50,256,0.001,linear,1.0080082416534424
50,256,0.001,relu,0.006677175872027874
50,256,0.001,tanh,0.005883588455617428
100,4,1e-05,linear,392.1844482421875
100,4,1e-05,relu,0.006503229960799217
100,4,1e-05,tanh,0.00426262803375721
100,4,0.0001,linear,19634204672.0
100,4,0.0001,relu,0.002119816839694977
100,4,0.0001,tanh,0.0012205265229567885
100,4,0.001,linear,2.1391696724354318e+33
100,4,0.001,relu,0.0002695608127396554
100,4,0.001,tanh,0.00032748436206020415
100,8,1e-05,linear,0.5541529655456543
100,8,1e-05,relu,0.008144325576722622
100,8,1e-05,tanh,0.007009641733020544
100,8,0.0001,linear,6.082131527777806e+19
100,8,0.0001,relu,0.0026144301518797874
100,8,0.0001,tanh,0.002001487649977207
100,8,0.001,linear,5.243436372640504e+19
100,8,0.001,relu,0.0009734656196087599
100,8,0.001,tanh,0.00030720632639713585
100,16,1e-05,linear,0.37065866589546204
100,16,1e-05,relu,0.01476658508181572
100,16,1e-05,tanh,0.01087256520986557
100,16,0.0001,linear,3891407.0
100,16,0.0001,relu,0.0032913375180214643
100,16,0.0001,tanh,0.0026049623265862465
100,16,0.001,linear,1.0720005450272772e+21
100,16,0.001,relu,0.0023759864270687103
100,16,0.001,tanh,0.0006395834498107433
100,32,1e-05,linear,0.3949163258075714
100,32,1e-05,relu,0.023178020492196083
100,32,1e-05,tanh,0.014020944014191628
100,32,0.0001,linear,0.5375670194625854
100,32,0.0001,relu,0.005630928557366133
100,32,0.0001,tanh,0.003993414808064699
100,32,0.001,linear,256232272.0
100,32,0.001,relu,0.0021359408274292946
100,32,0.001,tanh,0.0011096008820459247
100,64,1e-05,linear,0.40256744623184204
100,64,1e-05,relu,0.03371960669755936
100,64,1e-05,tanh,0.027140216901898384
100,64,0.0001,linear,4809407.0
100,64,0.0001,relu,0.005165642127394676
100,64,0.0001,tanh,0.006333041470497847
100,64,0.001,linear,66973324.0
100,64,0.001,relu,0.003053058870136738
100,64,0.001,tanh,0.0020656483247876167
100,128,1e-05,linear,0.5686622262001038
100,128,1e-05,relu,0.03241635486483574
100,128,1e-05,tanh,0.0280730202794075
100,128,0.0001,linear,0.6069961786270142
100,128,0.0001,relu,0.010389960370957851
100,128,0.0001,tanh,0.010206771083176136
100,128,0.001,linear,4.700838565826416
100,128,0.001,relu,0.006074347533285618
100,128,0.001,tanh,0.002799401758238673
100,256,1e-05,linear,0.23131412267684937
100,256,1e-05,relu,0.08238046616315842
100,256,1e-05,tanh,0.03075370006263256
100,256,0.0001,linear,0.42131730914115906
100,256,0.0001,relu,0.016256151720881462
100,256,0.0001,tanh,0.012215199880301952
100,256,0.001,linear,8.662515640258789
100,256,0.001,relu,0.006386854220181704
100,256,0.001,tanh,0.00523081049323082
150,4,1e-05,linear,0.7437549233436584
150,4,1e-05,relu,0.004691986367106438
150,4,1e-05,tanh,0.003945757169276476
150,4,0.0001,linear,1882.7703857421875
150,4,0.0001,relu,0.001844236277975142
150,4,0.0001,tanh,0.0007343381294049323
150,4,0.001,linear,0.0002268481330247596
150,4,0.001,relu,0.00035911615123040974
150,4,0.001,tanh,0.00017567748727742583
150,8,1e-05,linear,2.002190351486206
150,8,1e-05,relu,0.006566927768290043
150,8,1e-05,tanh,0.005344931967556477
150,8,0.0001,linear,55884.22265625
150,8,0.0001,relu,0.002817828906700015
150,8,0.0001,tanh,0.001422331784851849
150,8,0.001,linear,64074149888.0
150,8,0.001,relu,0.0007575833005830646
150,8,0.001,tanh,0.00025645268033258617
150,16,1e-05,linear,0.5261825919151306
150,16,1e-05,relu,0.011001305654644966
150,16,1e-05,tanh,0.009980815462768078
150,16,0.0001,linear,43397.37109375
150,16,0.0001,relu,0.0028744260780513287
150,16,0.0001,tanh,0.0021888287737965584
150,16,0.001,linear,inf
150,16,0.001,relu,0.0015583850909024477
150,16,0.001,tanh,0.00040167683619074523
150,32,1e-05,linear,0.3699221611022949
150,32,1e-05,relu,0.017178189009428024
150,32,1e-05,tanh,0.015373398549854755
150,32,0.0001,linear,250378.515625
150,32,0.0001,relu,0.003972021397203207
