neurons,batch_size,learning_rate,activation,score
50,256,0.001,tanh,0.1362789422273636
100,4,1e-05,linear,0.06400419771671295
100,4,1e-05,relu,0.15895922482013702
100,4,1e-05,tanh,0.12947437167167664
100,4,0.0001,linear,0.016929421573877335
100,4,0.0001,relu,0.01916244626045227
100,4,0.0001,tanh,0.019616737961769104
100,4,0.001,linear,0.011585738509893417
100,4,0.001,relu,0.010502885095775127
100,4,0.001,tanh,0.009514670819044113
100,8,1e-05,linear,0.254909873008728
100,8,1e-05,relu,0.16623681783676147
100,8,1e-05,tanh,0.08259488642215729
100,8,0.0001,linear,0.027851052582263947
100,8,0.0001,relu,0.0458860918879509
100,8,0.0001,tanh,0.024002403020858765
100,8,0.001,linear,0.011502542532980442
100,8,0.001,relu,0.0127023970708251
100,8,0.001,tanh,0.011378258466720581
100,16,1e-05,linear,0.1505902111530304
100,16,1e-05,relu,0.1803172379732132
100,16,1e-05,tanh,0.1476389467716217
100,16,0.0001,linear,0.025956520810723305
100,16,0.0001,relu,0.07917962223291397
100,16,0.0001,tanh,0.025751439854502678
100,16,0.001,linear,0.01648380048573017
100,16,0.001,relu,0.018933890387415886
100,16,0.001,tanh,0.013612672686576843
100,32,1e-05,linear,0.19347485899925232
100,32,1e-05,relu,0.20449459552764893
100,32,1e-05,tanh,0.25275886058807373
100,32,0.0001,linear,0.07815691828727722
100,32,0.0001,relu,0.1693916767835617
100,32,0.0001,tanh,0.08930882811546326
100,32,0.001,linear,0.023431940004229546
100,32,0.001,relu,0.024105491116642952
100,32,0.001,tanh,0.020913494750857353
100,64,1e-05,linear,0.3475103974342346
100,64,1e-05,relu,0.10870761424303055
100,64,1e-05,tanh,0.25837016105651855
100,64,0.0001,linear,0.15535686910152435
100,64,0.0001,relu,0.17056430876255035
100,64,0.0001,tanh,0.11667187511920929
100,64,0.001,linear,0.02832624688744545
100,64,0.001,relu,0.03310849890112877
100,64,0.001,tanh,0.03187842294573784
100,128,1e-05,linear,0.22049695253372192
100,128,1e-05,relu,0.157406747341156
100,128,1e-05,tanh,0.2213401049375534
100,128,0.0001,linear,0.14665628969669342
100,128,0.0001,relu,0.21516329050064087
100,128,0.0001,tanh,0.16325414180755615
100,128,0.001,linear,0.040989961475133896
100,128,0.001,relu,0.04624152183532715
100,128,0.001,tanh,0.03352058306336403
100,256,1e-05,linear,0.15916793048381805
100,256,1e-05,relu,0.1631540060043335
100,256,1e-05,tanh,0.20172710716724396
100,256,0.0001,linear,0.15595073997974396
100,256,0.0001,relu,0.18623162806034088
100,256,0.0001,tanh,0.19698596000671387
100,256,0.001,linear,0.060147665441036224
100,256,0.001,relu,0.07198958843946457
100,256,0.001,tanh,0.038143258541822433
150,4,1e-05,linear,0.026898199692368507
150,4,1e-05,relu,0.0597882978618145
150,4,1e-05,tanh,0.044456738978624344
150,4,0.0001,linear,0.01717623695731163
150,4,0.0001,relu,0.021589815616607666
150,4,0.0001,tanh,0.02076598070561886
150,4,0.001,linear,0.009307721629738808
150,4,0.001,relu,0.009326651692390442
150,4,0.001,tanh,0.009464165195822716
150,8,1e-05,linear,0.12852677702903748
150,8,1e-05,relu,0.11570645868778229
150,8,1e-05,tanh,0.06873929500579834
150,8,0.0001,linear,0.02505537122488022
150,8,0.0001,relu,0.021382391452789307
150,8,0.0001,tanh,0.021581683307886124
150,8,0.001,linear,0.01097639836370945
150,8,0.001,relu,0.010746057145297527
150,8,0.001,tanh,0.01060875691473484
150,16,1e-05,linear,0.1545524150133133
150,16,1e-05,relu,0.10844943672418594
150,16,1e-05,tanh,0.22926770150661469
150,16,0.0001,linear,0.027349796146154404
150,16,0.0001,relu,0.037246715277433395
150,16,0.0001,tanh,0.026150932535529137
150,16,0.001,linear,0.01334800198674202
150,16,0.001,relu,0.01401534304022789
150,16,0.001,tanh,0.012604499235749245
150,32,1e-05,linear,0.14292840659618378
150,32,1e-05,relu,0.136387899518013
